Sample	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_duplicates
HCATisStabAug177376562_S1_L001_R1_001	210185767.0	26	48.0	26.0	0.0	47.51274281658786
HCATisStabAug177376562_S1_L001_R2_001	210185767.0	98	47.0	98.0	20.0	71.34969687755553
HCATisStabAug177376564_S1_L001_I1_001	185768330.0	8	53.0	8.0	30.0	99.99957204761436
HCATisStabAug177376564_S1_L001_R1_001	185768330.0	26	48.0	26.0	0.0	38.19201511603576
HCATisStabAug177376564_S1_L001_R2_001	185768330.0	98	47.0	98.0	20.0	74.00887227007769
HCATisStabAug177376566_S1_L001_I1_001	176451502.0	8	50.0	8.0	20.0	99.99956305274182
HCATisStabAug177376566_S1_L001_R1_001	176451502.0	26	48.0	26.0	0.0	40.202852438224
HCATisStabAug177376566_S1_L001_R2_001	176451502.0	98	47.0	98.0	20.0	73.3800554157017
HCATisStabAug177376568_S1_L001_I1_001	165930341.0	8	52.0	8.0	30.0	99.99954257913566
HCATisStabAug177376568_S1_L001_R1_001	165930341.0	26	48.0	26.0	0.0	33.43254955728561
HCATisStabAug177376568_S1_L001_R2_001	165930341.0	98	48.0	98.0	20.0	74.34201204704195
